key,name
compo_005145,C
compo_005146,"C., A."
compo_005147,"C., F."
compo_005148,C. (L.)
compo_005149,"C., M.A."
compo_005150,"Caballero, M.F."
compo_005151,"Cabarrus, A. de"
compo_005152,"Cabisius, Jul."
compo_005153,Caccia (J.C.)
compo_005154,"Cacciamani, G."
compo_005155,"Cacciamani, R."
compo_005156,"Caccianino, A."
compo_005157,"Caccini, G."
compo_005159,"Caddell, E.D."
compo_005160,"Cadmus, H."
compo_005161,"Caecilian, E. v."
compo_005162,Caemmerer
compo_005163,"Caemmerer, Carl"
compo_005164,"Caetani, R."
compo_005165,"Caetani, Roffredo"
compo_005166,Caffi (G.)
compo_005167,Cagnoni
compo_005168,"Cagnoni, A."
compo_005168,Cagnoni (A.)
compo_005169,Cagnoni (Ant.)
compo_005169,"Cagnoni, Ant."
compo_005170,"Cahen, Lucien"
compo_005171,"Cahn, L."
compo_005172,Cahn (Leo.)
compo_005172,"Cahn, Leo"
compo_005172,Cahn (Leo)
compo_005173,"Cahnbley, A."
compo_005173,"Cahnbley, Aug."
compo_005173,"Cahnbley, August"
compo_005173,"Cahnbley, Aug"
compo_005174,"Cahnbley, Ernst"
compo_005175,"Cajani, Alberto"
compo_005176,"Cajar, H."
compo_005177,Calapaj (G.B.)
compo_005178,"Caldara, Antonio"
compo_005178,"Caldara, Ant."
compo_005178,Caldara (A.)
compo_005178,"Caldara, Anton"
compo_005178,Caldara (Ant.)
compo_005178,"Caldara, Ant"
compo_005178,Caldara (Antonio)
compo_005179,"Calderon, Isaac"
compo_005180,D. Caldi
compo_005180,"Caldi, D."
compo_005181,Calegari (Ant.)
compo_005182,Calegari (L.A.)
compo_005183,"Calegari, S."
compo_005184,"Califano, A."
compo_005185,"Calk, F."
compo_005186,"Call, L. de"
compo_005187,"Call, L. v."
compo_005189,"Call, Léonard"
compo_005190,"Call, P."
compo_005191,"Callaerts, Joseph"
compo_005191,"Callaerts, Jos."
compo_005192,"Callies, E."
compo_005193,"Callies, Ernst"
compo_005194,Calloni (J.)
compo_005195,"Calonne, L. de"
compo_005196,Calvi (G.P.)
compo_005197,"Calvini, A."
compo_005198,"Calvisius, S."
compo_005198,"Calvisius, Sethus"
compo_005198,Calvisius (Sethus
compo_005199,Camarano (L.)
compo_005200,"Camauer, G."
compo_005201,"Camaur, Francesco"
compo_005202,"Cambert, Robert"
compo_005203,Cambiaggio
compo_005204,"Cambini, Joh.Jos."
compo_005204,Cambini (Joh. Jos.)
compo_005205,Cambon
compo_005206,"Cameron, Claud"
compo_005207,"Cammaert, Gustave"
compo_005208,"Cammarano, L."
compo_005209,Cammerer (J.)
compo_005209,"Cammerer, J."
compo_005210,"Camors, Henry W. de"
compo_005210,"Camors, Henri W. de"
compo_005211,"Campa, Gustavo E."
compo_005211,"Campa, Gust.E."
compo_005211,"Campa, Gust. E."
compo_005212,"Campabadal, José."
compo_005213,Campagnoli
compo_005214,"Campagnoli, B."
compo_005214,Campagnoli (B.)
compo_005214,"Campagnoli, Bartolomeo"
compo_005215,Campana
compo_005216,"Campana, F."
compo_005216,Campana. F.
compo_005216,Campana (F.)
compo_005217,"Campana, Fabio"
compo_005217,Campana (Fab.)
compo_005217,"Campana, Fab."
compo_005218,"Campano, Fabio"
compo_005219,"Campbell, H.A.J."
compo_005220,"Campbell-Tipton, Louis"
compo_005221,Campenhout. F.
compo_005222,"Campodónico, Rodolfo"
compo_005223,"Campos, Aurelio M."
compo_005224,Campra
compo_005225,"Campra, André"
compo_005227,Camus
compo_005228,"Camäuer, G."
compo_005229,Canal (Gilbert von)
compo_005230,"Canale, Antonio"
compo_005231,"Canari, F."
compo_005232,"Canciani, P."
compo_005233,"Candella, E."
compo_005234,"Candella, Ed."
compo_005235,Candio (E.)
compo_005236,"Canessa, T."
compo_005237,"Canfora, P."
compo_005238,"Canissa-Fischer, Pauline"
compo_005239,"Canivet, L."
compo_005240,"Canivez, L."
compo_005241,"Canneti, Fr."
compo_005242,"Canné, Josef"
compo_005242,"Canné, Jos."
compo_005243,"Canonica, P."
compo_005244,Canthal
compo_005245,"Canthal, A."
compo_005246,Canthal (A.M.)
compo_005246,"Canthal, A.M."
compo_005246,"Canthal, Aug. M."
compo_005246,Canthal (Aug. M.)
compo_005246,Canthàl (Aug. M.)
compo_005246,Canthal (Aug.)
compo_005246,"Canthal, (A.M.)"
compo_005246,Canthal’s (Aug. M.)
compo_005246,Canthal (V.M.)
compo_005246,"Canthal, Aug.M."
compo_005246,A. M. Canthal
compo_005246,A.M. Canthal
compo_005246,Canthal (A. M.)
compo_005247,Canthal (M.)
compo_005248,Canti (A.)
compo_005249,"Canti, Ant."
compo_005250,"Cantoni, Fortunato"
compo_005251,"Cantor, A."
compo_005252,"Cantor, Otto"
compo_005253,"Canudas, Carlos"
compo_005254,"Canziani, P."
compo_005255,"Canzioni, P."
compo_005256,Capecelatro (V.)
compo_005256,"Capecelatro, V."
compo_005257,"Capek, E.V."
compo_005258,Capelleanu (Jon)
compo_005259,"Capellen, G."
compo_005260,"Capllonch, M."
compo_005261,"Capllonch, Miguel"
compo_005261,"Capllonch, Miquel"
compo_005262,"Capocci, Filippo"
compo_005263,"Caporali, G."
compo_005264,Cappa (A.J.)
compo_005265,"Cappelen, Chr."
compo_005266,"Cappelen, Christian"
compo_005267,"Cappelletto, G.B."
compo_005268,Caprice
compo_005269,"Capson, A."
compo_005270,"Capua, E. di"
compo_005271,"Capua, Eduardo di"
compo_005272,"Caputo, C."
compo_005273,"Caracciolo, E."
compo_005274,Caradja (J. v.)
compo_005275,"Caradja, Fürst J. v."
compo_005276,"Caradja, Prince. J."
compo_005276,"Caradja, le Prince J."
compo_005276,"Caradja, Prince J."
compo_005277,"Caradjd, Principe, G."
compo_005278,Carafa
compo_005279,Carafa (M.)
compo_005279,"Carafa, M."
compo_005281,"Caramiello, G."
compo_005283,"Carayon La Tour, A. de"
compo_005284,"Carcassi, Mateo"
compo_005284,Carcassi (M.)
compo_005284,Carcassi (Matth.)
compo_005284,"Carcassi, Matteo"
compo_005284,"Carcassi, M."
compo_005284,Carcassi
compo_005284,Carcassi (Mat.)
compo_005285,"Carelli, B."
compo_005286,"Carelli, Beniamino"
compo_005287,"Carelli, M."
compo_005288,Carello (Aug.)
compo_005289,"Carey, H."
compo_005290,"Carisi, Arturo"
compo_005291,"Carissan, C."
compo_005292,Carissimi
compo_005293,"Carissimi, G."
compo_005293,Carissimi (G.)
compo_005294,"Carissimi, Giacomo"
compo_005295,"Carissimi, Gian Giacomo"
compo_005296,Carissimi (Giovan Giacomo)
compo_005297,"Carl, C."
compo_005299,"Carl, Ernestine"
compo_005300,"Carl, G."
compo_005301,"Carl, G.A."
compo_005302,"Carl, Johann"
compo_005303,"Carl, M."
compo_005303,Carl (M.)
compo_005303,M. Carl
compo_005303,"Carl,"
compo_005304,"Carl, W."
compo_005306,"Carlberg, G."
compo_005307,"Carletti, C."
compo_005308,Carli (J.)
compo_005308,"Carli, J."
compo_005309,"Carlier, Xavier"
compo_005309,"Carlier, X."
compo_005310,Carlini (O.)
compo_005311,Carlo
compo_005312,"Carlo, Alfred"
compo_005313,"Carlo, P."
compo_005314,"Carlotta, F."
compo_005315,"Carlotti, G."
compo_005316,"Carlsen, Camillo"
compo_005317,"Carlt, G."
compo_005318,"Carman, M."
compo_005319,"Carman, Marius"
compo_005320,"Carmichael, M. G."
compo_005321,"Carmont, Ch. de"
compo_005321,"Carmont, Ch. de."
compo_005322,"Carmusci, D."
compo_005323,Carnazzi
compo_005324,"Carnelli, Giuseppe"
compo_005325,Prinz Carneval
compo_005325,"Carneval, Prinz"
compo_005326,Carnicer (D.R.)
compo_005327,"Caro, Ami"
compo_005328,"Caro, Paul"
compo_005329,"Caroli, A."
compo_005329,Caroli (A.)
compo_005330,"Caroli, C.D."
compo_005331,"Caroli, Carl D."
compo_005332,"Caroli, Carlo D."
compo_005333,Carolus
compo_005334,"Caron, C."
compo_005335,"Caron, Camille"
compo_005336,"Caron, Lucien"
compo_005337,"Caronna, Pier"
compo_005338,"Caroselli, A."
compo_005339,Carpantier (Ad.)
compo_005340,"Carr, F. Osmond"
compo_005341,"Carr, Osmond"
compo_005342,"Carrara, F.M."
compo_005343,"Carreno, T."
compo_005344,Carrer (P.)
compo_005344,"Carrer, P."
compo_005345,"Carreño, T."
compo_005346,"Carreño, Teresa"
compo_005347,"Carri, Ferdinand"
compo_005348,"Carri, Hermann"
compo_005349,"Carré, Oskar"
compo_005350,Carstens (Carl)
compo_005351,Cartagenova (G.O.)
compo_005352,"Carter, Charles D."
compo_005353,"Carter, R. Kelso"
compo_005354,"Cartol, H."
compo_005355,Carulli
compo_005356,"Carulli, B."
compo_005356,"Carulli,"
compo_005356,Carulli (B.)
compo_005357,Carulli (Ben.)
compo_005358,Carulli (C.)
compo_005359,Carulli (F.)
compo_005359,"Carulli, F."
compo_005360,Carulli (Ferd.)
compo_005360,"Carulli, Ferd."
compo_005361,"Carulli, Ferdynand"
compo_005362,Carulli (G.)
compo_005363,Carulli (Gust.)
compo_005363,"Carulli, Gust."
compo_005364,Carulli (P.)
compo_005365,Carus (E.F.S.)
compo_005366,"Carvajal, Carlos Finck"
compo_005367,Carvalho (R.F. de)
