key,name
compo_000002,A.
compo_000003,"A., H. v."
compo_000004,A. (L. v.)
compo_000006,"Aachen, Hans v."
compo_000006,"Aachen, Hans von"
compo_000007,"Aal, Carl"
compo_000008,"Aal’s, Paul"
compo_000009,"Aalborg, Max"
compo_000010,"Aaron, Emil"
compo_000011,"Abadie, L."
compo_000012,"Abadie, Louis"
compo_000013,Abbiati (A.)
compo_000014,"Abbott, E.F."
compo_000015,"Abderhalden, J.V."
compo_000016,Abeelen (H. van den)
compo_000017,"Abel, Bernhard"
compo_000018,Abel (C.)
compo_000019,"Abel, Fr."
compo_000020,"Abel, Gustav"
compo_000021,Abel (J.)
compo_000021,"Abel, J."
compo_000022,"Abel, Jul."
compo_000023,"Abel, L."
compo_000024,"Abel, Louis"
compo_000025,"Abel, Ludwig"
compo_000026,"Abel, M."
compo_000027,Abel (P.J.)
compo_000028,Abela
compo_000029,Abela (C.)
compo_000029,"Abela, C."
compo_000030,"Abela, Carl"
compo_000030,Abela (Carl)
compo_000031,Abela (L.)
compo_000032,"Abelspies, J.F."
compo_000033,"Abelspies, J.F. Carl"
compo_000034,Abendroth (Th.)
compo_000036,Abenheim. J
compo_000036,"Abenheim, J."
compo_000036,"Abenheim, J"
compo_000036,Abenheim (J.)
compo_000037,Abenheim (Jos.)
compo_000037,"Abenheim, Jos."
compo_000037,"Abenheim., Jos."
compo_000038,"Abenheim, Joseph"
compo_000039,"Aberle, G"
compo_000040,Abert
compo_000041,"Abert, J.J."
compo_000041,"Abert, J., J."
compo_000043,"Abert, Wenzel"
compo_000044,Abesser
compo_000045,"Abesser, Edm."
compo_000045,"Abesser, Edmund"
compo_000045,"Abesser, Ed."
compo_000045,"Abesser, E."
compo_000045,Abesser. Edm.
compo_000045,"Abesser,"
compo_000045,Abesser Ed.
compo_000045,Abesser (Edm.)
compo_000045,Abesser (Ed.)
compo_000045,Edm. Abesser
compo_000046,"Abheiter, Hermann"
compo_000047,Abmeyer
compo_000048,Abos
compo_000049,"Abraham, Leopold"
compo_000050,Abramovitz
compo_000051,"Abrányi, C."
compo_000052,"Abrányi, K."
compo_000052,"Ábrányi, K."
compo_000052,"Abrànyi, K."
compo_000052,"Abranyi, K."
compo_000053,"Abrányi, Kornél"
compo_000053,"d’Abrány père, Corneille"
compo_000053,"d’Abrányi père, Corneille"
compo_000053,"Abrányi père, Corneille"
compo_000053,Ábrányi (Kornél)
compo_000053,"Ábrányi, Kornél"
compo_000053,"Abrányi pere, Corneille"
compo_000053,"Kornél, A."
compo_000053,"Kornél, Abrány"
compo_000054,"Absenger, A."
compo_000055,"Absenger, Ant."
compo_000056,"Absenger, Anton"
compo_000057,"Absenger jun., Anton"
compo_000058,Abt
compo_000059,"Abt, Alfred"
compo_000060,Abt (F.)
compo_000060,"Abt, F."
compo_000061,Abt. Ferd.
compo_000061,"Abt, Ferd."
compo_000062,"Abt, Franz"
compo_000062,"Abt, Frz."
compo_000062,Abt (Fr.)
compo_000062,"Abt, Franç."
compo_000062,"Abt, Fr."
compo_000062,Franz Abt
compo_000062,Abt. Frz.
