publ_0002,Abeken
publ_0003,Abel
publ_0004,Abendroth
publ_0005,Abicht
publ_0006,Abt
publ_0007,van Acken
publ_0008,Ackermann
publ_0009,Ackermann & Lesser
publ_0010,Ad. Ackermann
publ_0011,Fr.A. Ackermann
publ_0012,Th.
publ_0012,Th. Ackermann
publ_0013,Th. Ackermann Verl
publ_0013,Th. Ackermann’s Verl
publ_0013,Th. Ackermann’s Verlag
publ_0014,Adam
publ_0015,Aderhoh
publ_0015,Aderholz
publ_0016,Fr. Aderholz
publ_0017,G. Ph. Aderholz
publ_0018,Adler
publ_0019,Administration
publ_0020,Administration der „Lyra“
publ_0020,Verwaltung der „Lyra
publ_0020,Verwaltung der „Lyra“
publ_0020,Verwaltung der Lyra
publ_0021,Aenstoots
publ_0022,Agence internationale
publ_0023,Agentur d. rauhen Hauses
publ_0023,Agentur des Rauhen Hauses
publ_0024,Ahn
publ_0025,A. Ahn
publ_0026,Alb. Ahn
publ_0027,Ahrens
publ_0028,Aibel
publ_0028,Aibl
publ_0029,Aibl (in Comm.)
publ_0030,Aibl Verl
publ_0030,Aibl. Verl
publ_0031,Aibl Sort
publ_0031,Aibl’s Sort
publ_0032,Aichwalder
publ_0033,Aigner
publ_0034,Akad. Buchh
publ_0034,Akademische Buchdlg
publ_0034,Akademische Buchhdlg
publ_0035,Akad. Musikalienhdl
publ_0035,Akad. Musikhandl
publ_0035,Akad. Musikhandlung
publ_0035,Akadem.
publ_0035,Akadem. Musikhdlg
publ_0036,Alban
publ_0037,Albanus’sche Buchdr
publ_0038,Albert
publ_0039,Albig
publ_0040,Albrecht
publ_0041,Albrecht jun
publ_0042,Aldenhoven
publ_0043,Aletter
publ_0044,Alexander
publ_0045,Algem. Muziekhandel
publ_0045,Algemeene Muziekhandel
publ_0045,Allgem. Muziekhandel
publ_0045,De Algemeene Muziekhandel
publ_0045,De Allgemeene Muziekhandel
publ_0046,Alisky
publ_0047,Alkan
publ_0048,Allgem. Deutsche Musikztg
publ_0049,Allgem. Musikh
publ_0049,Allgem. Musikhandl
publ_0049,allgem. Musikhandl
publ_0049,allgem. Musikhandlung
publ_0049,allgem. Musikhdl
publ_0049,Allgemeine Musikhandl
publ_0049,Allgemeine Musikhandlung
publ_0049,allgemeine Musikhandlung
publ_0050,Allgem. deutsche Verlags-Anstalt
publ_0051,"Allgemeiner Verein f. deutsche Litteratur"
publ_0051,Allg. Verein f. deutsche Litteratur
publ_0051,Allgem. Verein f. Deutsche Literatur
publ_0051,Allgem. Verein f. deutsche Literatur
publ_0051,Allgem. Verein f. deutsche Litteratur
publ_0051,Allgem. Verein f. Deutsche Litteratur
publ_0051,Allgemeiner Verein f. deutsche Litteratur
publ_0052,Alsbach &
publ_0052,Alsbach & Co
publ_0053,Alt
publ_0054,Alt & Neumann
publ_0055,Alt
publ_0055,Alt &
publ_0055,Alt & Uhrich
publ_0055,Alt & Uhrig
publ_0056,Amberger
publ_0057,Ambrosi
publ_0058,Amelang’sche Sortiments.-Buchhdl. (Gärtner)
publ_0060,Anders
publ_0061,W.
publ_0062,Andorff & Sohn
publ_0063,Andreae & Co
publ_0063,Andreae u. Co
publ_0065,Andre
publ_0065,André
publ_0065,Andrè
publ_0066,André (in Comm.)
publ_0067,André in Comm
publ_0068,Angerer
publ_0069,Anhalt. Verlagsanstalt
publ_0070,Anhuth
publ_0071,Annecke
publ_0072,Anner
publ_0073,Anschütz
publ_0074,Ansingh & Co
publ_0075,Anst. f. Musikaliendruck (K. Schulze)
publ_0075,Anstalt f. Musikaliendruck (C. Schulze)
publ_0076,Anton
publ_0077,Apitzsch
publ_0078,Apollo
publ_0079,Apollo-Verlag
publ_0080,Appel
publ_0081,Appelhans & Pfenningstorff
publ_0082,Appiano
publ_0083,Appun
publ_0084,Appun Vlg
publ_0085,A. Appun
publ_0086,Ad.
publ_0086,Ad. Appun
publ_0087,Ad Appun
publ_0087,Adolf Appun
publ_0088,A. Appun’s Buchh
publ_0088,Appun’s Bchhdlg
publ_0088,Appun’s Buchh
publ_0088,Appun’s Buchhdl
publ_0088,Appuns
publ_0088,Appuns Buchh
publ_0089,A. Appun Vlg
publ_0089,A. Appun’s
publ_0089,Ad.
publ_0089,Ad. Appun
publ_0089,Ad. Appun Vlg
publ_0089,Ad. Appun’s Vlg
publ_0090,Arends & Mossner
publ_0091,Arendt
publ_0092,Aring
publ_0093,Arion
publ_0094,Armbruster in Comm
publ_0095,Arminius Verl
publ_0095,Arminius-Verlag
publ_0096,Ar-Arnold
publ_0096,Arnold
publ_0097,Arnold in Comm
publ_0098,E. Arnold
publ_0099,F.W. Arnold
publ_0100,Arnoldische Buchh. in Comm
publ_0101,Arnold’s
publ_0101,Arnold’s Nachf
publ_0102,Arnold’sche Buchh
